Canton,Commune,nb_homme_salarie,nb_femme_salarie,nb_homme_non_salarie,nb_femme_non_salarie,employ_rate,employ_woman_rate,employ_men_rate,total_employes
Remich,Schengen,1020,970,170,90,0.8844,0.9151,0.8571,2250
Remich,Stadtbredimus,430,380,50,30,0.9101,0.9268,0.8958,890
Vianden,Putscheid,260,220,30,10,0.9231,0.9565,0.8966,520
Vianden,Tandel,510,480,60,30,0.9167,0.9412,0.8947,1080
Vianden,Vianden,470,410,30,30,0.9362,0.9318,0.94,940
Wiltz,Boulaide,290,270,40,30,0.8889,0.9,0.8788,630
Wiltz,Esch-sur-Sûre,700,650,90,60,0.9,0.9155,0.8861,1500
Wiltz,Goesdorf,380,320,40,30,0.9091,0.9143,0.9048,770
Wiltz,Kiischpelt,270,240,20,30,0.9107,0.8889,0.931,560
Wiltz,Lac de la Haute-Sûre,450,420,80,50,0.87,0.8936,0.8491,1000
Wiltz,Wiltz,1640,1450,150,70,0.9335,0.9539,0.9162,3310
Wiltz,Winseler,310,260,70,20,0.8636,0.9286,0.8158,660
