reference_period,job_IDnumber,individual_IDnumber,employer_IDnumber,temporary_jobs_employer_IDnumber,j_job_start_date,j_job_end_effective_date,j_contract_type,j_job_end_planned_date,j_contract_planned_duration,j_job_status,j_blue_collar,j_posted_worker,j_assisting_family_member,j_maternity_leave,j_activation_measure,j_activation_measure_type,j_trial_period,j_trial_period_end_date,j_trial_period_length,j_F_short_time_working,j_short_time_working_benefit,j_short_time_working_hours,j_F_month_base_wage,j_month_base_wage,j_F_month_additionnal_wage,j_month_additionnal_wage,j_F_month_overtime_wage,j_month_overtime_wage,j_F_month_total_wage,j_month_total_wage,j_F_nb_base_worked_hours,j_nb_base_worked_hours,j_F_nb_overtime_paid_hours,j_nb_overtime_paid_hours,j_F_nb_total_worked_hours,j_nb_total_worked_hours,j_F_nb_base_worked_hours_ADJ,j_nb_base_worked_hours_ADJ,j_F_nb_total_worked_hours_ADJ,j_nb_total_worked_hours_ADJ,j_F_hourly_base_wage,j_hourly_base_wage,j_F_hourly_total_wage,j_hourly_total_wage,j_F_official_stat
202501,JOB699016272046,ID7065627298,EMP5375564641,-9,201506,,0,999909,-9,1,0,0,0,0,0,,1,201512,26.0,0,,,1,4523.75,1,237.14,-8,,1,4760.9,1,170.16,-8,,1,170.16,1,171.89,1,173.22,1,26.32,1,27.48,1
202503,JOB314919058651,ID2419049663,EMP8506716572,-9,202505,,0,999909,-9,1,1,0,0,0,0,,1,202508,12.0,0,,,1,5002.27,1,941.16,-8,,1,5943.43,1,170.07,-8,,1,170.07,1,172.29,1,170.7,1,29.03,1,34.82,1
202506,JOB678377701436,ID4549480831,EMP3495788568,-9,201905,,0,999909,-9,1,0,0,0,0,0,,1,201911,26.0,0,,,1,6415.06,1,764.74,-8,,1,7179.8,1,169.38,-8,,1,169.38,1,171.02,1,172.43,1,37.51,1,41.64,1
202607,JOB777520471167,ID2400842710,EMP1902294131,-9,201809,201901,1,201901,3,0,1,0,0,0,0,,1,201811,8.0,1,799.01,49.16,1,2663.36,-8,,1,400.82,1,3064.18,1,163.87,1,16.44105656532063,1,180.31105656532063,1,163.4,1,179.84105656532063,1,16.3,1,17.04,1
202608,JOB361832421024,ID4034471349,EMP9947174648,-9,202106,,0,999909,-9,0,0,0,0,0,0,,1,202107,4.0,0,,,1,7805.65,-8,,-8,,1,7805.65,1,161.19,-8,,1,161.19,1,163.35,1,161.67,1,47.78,1,48.28,1
202511,JOB746807154516,ID7175655125,EMP8087603859,-9,201909,,0,999909,-9,0,1,0,0,0,0,,1,201910,4.0,0,,,1,3829.48,1,242.54,-8,,1,4072.02,1,165.7,-8,,1,165.7,1,163.19,1,168.83,1,23.47,1,24.12,1
202607,JOB982146584044,ID4846773782,EMP9972787558,-9,201804,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,8082.43,-8,,-8,,1,8082.43,1,171.13,-8,,1,171.13,1,169.88,1,170.94,1,47.58,1,47.28,1
202412,JOB459615865780,ID7187026217,EMP9134316117,TMP7482175946,202001,,0,999909,-9,0,0,0,0,0,0,,1,202004,12.0,0,,,1,3934.96,1,648.54,-8,,1,4583.5,1,165.6,-8,,1,165.6,1,165.02,1,166.8,1,23.85,1,27.48,1
202410,JOB406409097439,ID7436713695,EMP5339421047,-9,201906,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,5538.08,1,248.09,-8,,1,5786.17,1,162.61,-8,,1,162.61,1,165.06,1,161.74,1,33.55,1,35.77,1
202502,JOB496513709859,ID3685160481,EMP3174612004,-9,201707,201711,1,201711,3,0,1,0,0,0,0,,0,,,0,,,1,4236.55,-8,,-8,,1,4236.55,1,172.34,-8,,1,172.34,1,172.62,1,172.94,1,24.54,1,24.5,1
202403,JOB713900532931,ID5158506431,EMP8393352904,-9,201611,201805,1,201805,5,0,0,0,0,0,0,,0,,,0,,,1,3776.62,1,767.55,-8,,1,4544.17,1,160.19,-8,,1,160.19,1,158.51,1,159.06,1,23.83,1,28.57,1
202606,JOB847007661771,ID5158506431,EMP1592124998,-9,201908,,0,999909,-9,0,1,0,0,0,0,,1,201909,6.0,0,,,1,4050.32,-8,,-8,,1,4050.32,1,161.29,-8,,1,161.29,1,163.57,1,162.26,1,24.76,1,24.96,1
202606,JOB988516560494,ID2711116152,EMP5198327315,-9,201807,,0,999909,-9,0,0,0,0,0,0,,1,201809,8.0,1,2244.69,50.39,1,7482.29,1,262.37,-8,,1,7744.66,1,167.98,-8,,1,167.98,1,164.79,1,170.86,1,45.41,1,45.33,0
202405,JOB991022901476,ID1836675254,EMP7976438156,-9,202311,,0,999909,-9,0,0,0,0,0,0,,1,202402,12.0,0,,,1,4088.78,1,329.97,-8,,1,4418.75,1,165.14,-8,,1,165.14,1,161.89,1,163.83,1,25.26,1,26.97,1
202406,JOB641605297516,ID0607159696,EMP1369681645,-9,201609,,0,999909,-9,1,1,0,0,0,0,,1,201610,6.0,0,,,1,6804.47,-8,,-8,,1,6804.47,1,166.63,-8,,1,166.63,1,165.63,1,168.14,1,41.08,1,40.47,1
202612,JOB449058147700,ID9979955271,EMP5411998679,-9,202210,,0,999909,-9,1,0,0,0,0,0,,1,202211,6.0,0,,,1,6824.29,-8,,-8,,1,6824.29,1,167.87,-8,,1,167.87,1,170.94,1,167.53,1,39.92,1,40.73,1
202606,JOB449251925462,ID6659051518,EMP9148652816,-9,201806,202504,0,999909,-9,0,0,0,0,0,0,,1,201808,8.0,0,,,1,5924.57,-8,,-8,,1,5924.57,1,173.0,-8,,1,173.0,1,171.59,1,174.99,1,34.53,1,33.86,1
202412,JOB347359774688,ID2706537947,EMP6239240758,-9,201605,,0,999909,-9,1,0,0,0,0,0,,1,201606,4.0,0,,,1,7158.18,1,506.02,-8,,1,7664.19,1,163.55,-8,,1,163.55,1,161.24,1,163.14,1,44.39,1,46.98,1
202609,JOB104328986143,ID5220472779,EMP4103697117,-9,201803,,0,999909,-9,0,0,0,0,0,0,,1,201809,26.0,0,,,1,3484.05,-8,,1,401.03,1,3885.08,1,167.99,1,12.890891679832558,1,180.88089167983256,1,167.43,1,180.32089167983256,1,20.81,1,21.55,1
202506,JOB277221704303,ID1531952058,EMP0548687403,-9,201511,,0,999909,-9,1,0,0,0,0,0,,1,201601,8.0,1,2249.1,51.12,1,7496.99,-8,,-8,,1,7496.99,1,170.39,-8,,1,170.39,1,169.71,1,169.98,1,44.18,1,44.11,1
202411,JOB275705964016,ID8451154479,EMP5820297021,-9,202401,,0,999909,-9,0,1,0,0,0,0,,1,202402,4.0,0,,,1,2856.13,-8,,-8,,1,2856.13,1,165.85,-8,,1,165.85,1,165.48,1,163.04,1,17.26,1,17.52,1
202606,JOB715518844225,ID3947312172,EMP8313237058,-9,201710,201711,4,201711,0,0,1,0,0,0,0,,-9,,,0,,,1,1729.64,-8,,1,301.7,1,2031.34,1,83.89,1,9.755415056907228,1,93.64541505690723,1,83.82,1,93.57541505690722,1,20.64,1,21.71,1
202510,JOB358414384249,ID2680182422,EMP8182992299,-9,201601,201707,1,201707,5,0,0,0,0,0,0,,1,201603,8.0,1,930.1,49.03,1,3100.32,-8,,-8,,1,3100.32,1,163.44,-8,,1,163.44,1,163.91,1,164.21,1,18.91,1,18.88,1
202606,JOB588153714732,ID7735925556,EMP1046963259,-9,202308,,0,999909,-9,0,1,0,0,1,0,,0,,,0,,,1,3794.15,1,353.22,-8,,1,4147.37,1,166.47,1,10.9,1,177.36,1,166.18,1,175.53,1,22.83,1,23.63,1
202401,JOB687849912165,ID6506098358,EMP5852398680,-9,202209,,0,999909,-9,0,0,0,0,0,0,,1,202303,26.0,0,,,1,6474.5,-8,,-8,,1,6474.5,1,171.61,1,18.97,1,190.58,1,170.37,1,189.77,1,38.0,1,34.12,0
202603,JOB289623091307,ID9409749930,EMP5626368970,-9,202508,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,6833.42,-8,,-8,,1,6833.42,1,172.44,-8,,1,172.44,1,172.67,1,172.76,1,39.58,1,39.55,0
202610,JOB866524041574,ID4375758441,EMP7338484219,-9,202304,,0,999909,-9,0,0,0,0,0,0,,1,202307,12.0,0,,,1,3612.95,-8,,-8,,1,3612.95,1,161.3,-8,,1,161.3,1,161.12,1,162.47,1,22.42,1,22.24,1
202605,JOB400499154788,ID9380262067,EMP7287431527,-9,201506,,0,999909,-9,1,0,0,0,0,0,,1,201507,4.0,0,,,1,5286.94,-8,,-8,,1,5286.94,1,168.77,-8,,1,168.77,1,169.52,1,169.7,1,31.19,1,31.15,1
202610,JOB268414593327,ID5499045301,EMP2795687833,-9,201609,,0,999909,-9,1,0,0,0,0,0,,1,201703,26.0,0,,,1,5414.49,-8,,-8,,1,5414.49,1,161.02,-8,,1,161.02,1,158.19,1,161.32,1,34.23,1,33.56,1
202502,JOB039106518017,ID2867908740,EMP0462265676,-9,202303,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,7967.02,-8,,-8,,1,7967.02,1,161.54,-8,,1,161.54,1,160.85,1,159.13,1,49.53,1,50.07,1
202411,JOB790306738302,ID3106903311,EMP8439599534,-9,201901,,0,999909,-9,0,0,0,0,0,0,,1,201907,26.0,0,,,1,5804.94,-8,,-8,,1,5804.94,1,171.44,-8,,1,171.44,1,172.3,1,170.94,1,33.69,1,33.96,1
202505,JOB435175183046,ID4270866882,-9,-9,201504,201506,-9,201506,4,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202407,JOB717535560932,ID5467854458,EMP0489964235,-9,202311,202505,0,999909,-9,0,1,0,0,0,1,CAE - Contrat d'appui-emploi,0,,,0,,,1,4389.44,1,748.28,-8,,1,5137.72,1,172.56,-8,,1,172.56,1,172.5,1,170.27,1,25.45,1,30.17,1
202404,JOB977008860084,ID6231203875,EMP8408621182,-9,202005,,0,999909,-9,0,0,0,0,0,0,,1,202006,4.0,1,1247.62,49.45,1,4158.74,-8,,-8,,1,4158.74,1,164.85,-8,,1,164.85,1,165.28,1,168.08,1,25.16,1,24.74,1
202603,JOB148902503926,ID6591803397,EMP1429396856,-9,201609,,0,999909,-9,1,0,0,0,0,0,,0,,,0,,,1,6377.72,-8,,-8,,1,6377.72,1,160.7,-8,,1,160.7,1,162.88,1,159.67,1,39.16,1,39.94,1
202402,JOB265511047541,ID9619431142,EMP2126788861,-9,202406,202409,0,999909,-9,0,1,0,0,0,0,,1,202407,4.0,0,,,1,3738.07,1,442.66,1,323.33,1,4504.07,1,165.04,1,9.516968980626032,1,174.55696898062604,1,167.72,1,177.23696898062605,1,22.29,1,25.41,1
202505,JOB965756924593,ID7993712406,EMP7526547935,-9,202106,,0,999909,-9,1,0,0,0,0,0,,1,202108,8.0,0,,,1,3677.86,-8,,-8,,1,3677.86,1,162.6,-8,,1,162.6,1,160.52,1,164.34,1,22.91,1,22.38,1
202612,JOB680589113529,ID4266179796,EMP0965610143,-9,202404,,0,999909,-9,0,1,0,0,0,0,,0,,,0,,,1,4643.79,-8,,-8,,1,4643.79,1,166.02,-8,,1,166.02,1,167.28,1,163.7,1,27.76,1,28.37,1
202607,JOB512382825867,ID5717751401,EMP3622660937,-9,201805,201902,1,201902,4,0,0,0,0,0,0,,0,,,0,,,1,4071.56,1,703.63,-8,,1,4775.19,1,167.51,-8,,1,167.51,1,167.75,1,166.61,1,24.27,1,28.66,1
202406,JOB286692966278,ID4991251341,-9,-9,202203,202205,-9,202205,3,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202408,JOB788191485807,ID0340438427,EMP8361340745,-9,201604,,0,999909,-9,1,0,0,0,0,0,,0,,,0,,,1,6111.53,-8,,-8,,1,6111.53,1,168.96,-8,,1,168.96,1,169.7,1,168.47,1,36.01,1,36.28,1
202611,JOB367294667116,ID8126042232,EMP8457759017,-9,202307,202308,1,202308,2,0,1,0,0,0,0,,0,,,1,1144.24,51.22,1,3814.12,1,867.18,-8,,1,4681.3,1,170.72,-8,,1,170.72,1,169.51,1,169.25,1,22.5,1,27.66,1
202512,JOB520643611037,ID7063242415,EMP1293870051,-9,202102,,0,999909,-9,0,0,0,1,0,0,,1,202103,4.0,0,,,1,7103.44,-8,,-8,,1,7103.44,1,161.34,-8,,1,161.34,1,160.05,1,160.58,1,44.38,1,44.24,1
202408,JOB652341389994,ID6973112196,EMP0438983640,TMP0684866618,202510,,0,999909,-9,0,0,0,0,1,0,,0,,,0,,,1,6254.4,-8,,-8,,1,6254.4,1,172.83,-8,,1,172.83,1,170.29,1,175.32,1,36.73,1,35.67,1
202609,JOB146303161799,ID2414183285,EMP0421020275,-9,201903,,0,999909,-9,1,1,0,0,0,0,,1,201909,26.0,0,,,1,5772.27,1,977.55,-8,,1,6749.81,1,169.53,1,18.5,1,188.03,1,168.41,1,187.5,1,34.28,1,36.0,1
202408,JOB220863536541,ID1380003075,EMP9518023806,TMP8505064138,201906,,0,999909,-9,1,1,0,0,0,0,,1,201907,6.0,0,,,1,5815.23,-8,,-8,,1,5815.23,1,160.1,-8,,1,160.1,1,160.51,1,158.85,1,36.23,1,36.61,0
202504,JOB571918261990,ID6702410386,EMP6234456557,-9,202402,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,7073.2,-8,,-8,,1,7073.2,1,165.84,-8,,1,165.84,1,163.33,1,164.9,1,43.31,1,42.89,1
202402,JOB678831712100,ID2135680442,EMP3236519941,-9,201702,202202,0,999909,-9,0,0,0,0,0,0,,1,201703,6.0,0,,,1,5835.15,-8,,-8,,1,5835.15,1,172.25,1,18.86,1,191.11,1,171.79,1,192.83,1,33.97,1,30.26,1
202606,JOB806578759856,ID8701462638,EMP4205930407,-9,201803,,0,999909,-9,1,1,0,0,0,0,,0,,,0,,,1,6455.57,-8,,-8,,1,6455.57,1,163.13,-8,,1,163.13,1,165.04,1,164.68,1,39.12,1,39.2,1
202612,JOB270103930870,ID5905992937,-9,-9,201609,201612,-9,201612,2,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202411,JOB422096902959,ID6752895392,EMP3917251355,-9,201611,,0,999909,-9,1,0,0,0,0,0,,0,,,0,,,1,4626.62,1,101.15,-8,,1,4727.77,1,165.81,-8,,1,165.81,1,164.15,1,162.94,1,28.19,1,29.02,1
202407,JOB152621815997,ID9327104054,EMP0629620153,-9,202305,202402,1,202402,4,0,1,0,0,0,0,,1,202311,26.0,0,,,1,3263.49,-8,,-8,,1,3263.49,1,163.09,1,13.58,1,176.66,1,165.31,1,174.22,1,19.74,1,18.73,1
202412,JOB677418625652,ID9327104054,EMP7047743490,-9,202009,,0,999909,-9,0,0,0,0,0,0,,1,202011,8.0,0,,,1,6516.15,-8,,-8,,1,6516.15,1,162.96,1,10.81,1,173.76,1,163.1,1,177.0,1,39.95,1,36.81,1
202503,JOB632945116868,ID9217223320,EMP5487099861,-9,201602,,0,999909,-9,0,0,0,0,0,0,,1,201603,6.0,1,1350.74,51.06,1,4502.46,-8,,-8,,1,4502.46,1,170.21,-8,,1,170.21,1,172.8,1,172.79,1,26.06,1,26.06,1
202609,JOB132475469137,ID3074505444,EMP3678508214,-9,202310,202310,1,202310,0,0,0,0,0,0,1,CIE - Contrat d'initiation à l'emploi,1,202401,12.0,0,,,1,3362.12,-8,,-8,,1,3362.12,1,171.38,-8,,1,171.38,1,168.34,1,168.18,1,19.97,1,19.99,0
202506,JOB293333468007,ID7985524140,EMP2290349446,-9,201911,,0,999909,-9,0,0,0,0,0,0,,1,201912,4.0,0,,,1,4950.73,-8,,-8,,1,4950.73,1,165.16,1,12.67,1,177.84,1,166.24,1,180.28,1,29.78,1,27.46,0
202503,JOB744666099353,ID4328309652,EMP8758428241,-9,202303,202511,0,999909,-9,1,0,0,0,0,0,,1,202304,4.0,1,2071.83,48.87,1,6906.11,-8,,-8,,1,6906.11,1,162.89,-8,,1,162.89,1,165.31,1,162.37,1,41.78,1,42.53,1
202607,JOB725217525007,ID6846022356,EMP4329271296,-9,202101,202301,3,202301,5,0,1,0,0,0,0,,-9,,,0,,,1,3798.67,1,709.07,-8,,1,4507.75,1,146.58,-8,,1,146.58,1,143.73,1,145.54,1,26.43,1,30.97,1
202609,JOB044789856257,ID6846022356,EMP5326033230,TMP6184992618,202501,,0,999909,-9,0,1,0,0,0,0,,1,202504,12.0,0,,,1,3883.11,-8,,1,547.28,1,4430.39,1,163.33,1,15.34624622566139,1,178.6762462256614,1,160.38,1,175.72624622566138,1,24.21,1,25.21,1
202511,JOB564208737530,ID1411739348,EMP0119721811,-9,201905,201907,4,201907,0,0,0,0,1,0,0,,-9,,,0,,,1,4314.23,-8,,1,1056.97,1,5371.2,1,108.79,1,17.768688510157617,1,126.55868851015762,1,110.32,1,128.08868851015762,1,39.11,1,41.93,0
202611,JOB415521667467,ID1411739348,EMP6212021697,-9,202010,,0,999909,-9,0,1,1,0,0,0,,1,202012,8.0,0,,,1,3703.37,-8,,-8,,1,3703.37,1,171.44,-8,,1,171.44,1,174.13,1,171.32,1,21.27,1,21.62,0
202408,JOB890028772175,ID5889163756,EMP3540838663,-9,201608,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,3307.58,-8,,-8,,1,3307.58,1,172.75,-8,,1,172.75,1,169.42,1,172.08,1,19.52,1,19.22,1
202504,JOB305548851027,ID0375899757,EMP2614933163,-9,201607,,0,999909,-9,1,1,0,0,0,0,,1,201701,26.0,0,,,1,6347.62,-8,,-8,,1,6347.62,1,170.89,-8,,1,170.89,1,172.75,1,170.55,1,36.74,1,37.22,1
202603,JOB934654722698,ID9221699586,-9,-9,202503,202508,-9,202508,4,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202611,JOB342442043805,ID8460810620,EMP7198386384,-9,202111,,0,999909,-9,0,1,0,0,0,0,,1,202201,8.0,0,,,1,4219.27,-8,,-8,,1,4219.27,1,160.7,-8,,1,160.7,1,158.79,1,163.07,1,26.57,1,25.87,1
202409,JOB294057202590,ID1228160648,EMP9479851583,-9,202109,,0,999909,-9,0,0,0,0,1,0,,1,202203,26.0,0,,,1,4507.47,-8,,-8,,1,4507.47,1,164.54,-8,,1,164.54,1,165.62,1,163.43,1,27.22,1,27.58,1
202409,JOB858877043581,ID9305616484,EMP1288013361,-9,202111,,0,999909,-9,1,0,0,0,0,0,,1,202112,6.0,0,,,1,4075.24,1,814.79,-8,,1,4890.04,1,169.71,-8,,1,169.71,1,169.43,1,168.57,1,24.05,1,29.01,1
202402,JOB491476607283,ID0919015814,EMP2684245088,-9,202109,,0,999909,-9,0,0,0,0,0,0,,1,202110,6.0,0,,,1,5116.36,-8,,-8,,1,5116.36,1,163.96,-8,,1,163.96,1,166.61,1,162.94,1,30.71,1,31.4,1
202401,JOB552314913577,ID8781414139,EMP5949299556,-9,202507,202508,1,202508,2,0,0,0,0,0,0,,1,202601,26.0,0,,,1,4768.35,-8,,-8,,1,4768.35,1,161.75,-8,,1,161.75,1,164.19,1,161.51,1,29.04,1,29.52,1
202408,JOB887256394278,ID1080996930,EMP8165803928,-9,202411,202412,0,999909,-9,0,0,0,0,0,1,PAN - Projet d'activité national,0,,,0,,,1,4091.68,-8,,-8,,1,4091.68,1,160.53,-8,,1,160.53,1,158.8,1,159.01,1,25.77,1,25.73,1
202403,JOB184638655779,ID4498926659,EMP0827231843,-9,201611,,0,999909,-9,0,0,0,0,0,0,,1,201612,6.0,0,,,1,3922.36,-8,,1,196.18,1,4118.54,1,169.36,1,5.647164970027481,1,175.0071649700275,1,169.22,1,174.8671649700275,1,23.18,1,23.55,1
202409,JOB236929298425,ID6990413797,EMP7991366210,-9,202311,,0,999909,-9,1,0,0,0,1,0,,1,202312,6.0,0,,,1,7082.15,-8,,-8,,1,7082.15,1,167.87,-8,,1,167.87,1,170.57,1,168.54,1,41.52,1,42.02,1
202403,JOB473149864300,ID0863765991,EMP9818063565,-9,201909,,0,999909,-9,0,0,0,0,0,0,,1,201912,12.0,0,,,1,5990.33,-8,,-8,,1,5990.33,1,167.95,-8,,1,167.95,1,167.27,1,165.96,1,35.81,1,36.1,1
202610,JOB026012796114,ID3721386589,EMP3519066984,-9,201711,201803,1,201803,3,0,0,0,0,0,0,,1,201712,6.0,0,,,1,3102.06,-8,,-8,,1,3102.06,1,162.62,-8,,1,162.62,1,164.6,1,161.23,1,18.85,1,19.24,1
202409,JOB895543937690,ID6693801184,-9,-9,202310,202401,-9,202401,4,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202604,JOB588043416518,ID9071416335,EMP2755394237,-9,201904,,0,999909,-9,0,0,0,0,0,0,,1,201910,26.0,0,,,1,3504.82,-8,,-8,,1,3504.82,1,170.87,-8,,1,170.87,1,172.78,1,168.27,1,20.28,1,20.83,1
202503,JOB678085627187,ID4728463920,EMP5003691559,-9,202210,,0,999909,-9,0,0,0,0,0,0,,1,202211,4.0,0,,,1,7547.94,1,261.9,1,927.51,1,8737.36,1,166.48,1,13.638390938119432,1,180.11839093811943,1,167.82,1,181.45839093811944,1,44.98,1,48.15,1
202406,JOB890612034717,ID7026728857,EMP5455884506,-9,202404,,0,999909,-9,1,1,0,0,0,0,,0,,,0,,,1,6313.71,-8,,-8,,1,6313.71,1,168.44,-8,,1,168.44,1,170.33,1,167.46,1,37.07,1,37.7,1
202408,JOB496475987622,ID9961125355,EMP0234132611,-9,202109,,0,999909,-9,0,0,0,0,0,0,,1,202203,26.0,0,,,1,4917.15,1,763.83,-8,,1,5680.99,1,161.35,-8,,1,161.35,1,158.67,1,164.14,1,30.99,1,34.61,0
202508,JOB968845783174,ID8487282997,EMP5642400825,-9,202208,,0,999909,-9,0,1,0,0,0,0,,1,202211,12.0,0,,,1,3042.32,-8,,-8,,1,3042.32,1,170.37,-8,,1,170.37,1,172.4,1,170.7,1,17.65,1,17.82,1
202401,JOB797497350208,ID4484631224,EMP0214427031,-9,201908,202612,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,7035.04,1,523.13,-8,,1,7558.18,1,164.29,-8,,1,164.29,1,167.26,1,161.38,1,42.06,1,46.83,1
202401,JOB088147435031,ID0371837645,EMP3650249163,-9,202403,,0,999909,-9,0,0,0,0,0,0,,1,202409,26.0,0,,,1,8002.98,-8,,1,759.91,1,8762.89,1,163.23,1,10.33276512971985,1,173.56276512971985,1,164.45,1,174.78276512971985,1,48.67,1,50.14,1
202411,JOB873928557498,ID7306524077,EMP2182744857,TMP2203173109,201510,201704,1,201704,5,0,0,0,0,0,0,,1,201604,26.0,0,,,1,4958.19,-8,,-8,,1,4958.19,1,163.1,-8,,1,163.1,1,164.14,1,163.36,1,30.21,1,30.35,1
202604,JOB037170586509,ID6789940539,EMP4801413811,-9,202311,,0,999909,-9,0,1,0,0,0,0,,0,,,0,,,1,4321.53,-8,,-8,,1,4321.53,1,172.32,-8,,1,172.32,1,172.72,1,174.01,1,25.02,1,24.83,1
202501,JOB983684577600,ID9755855665,EMP4908240433,-9,201909,,0,999909,-9,1,0,0,0,0,0,,1,201911,8.0,0,,,1,4332.55,-8,,-8,,1,4332.55,1,172.04,-8,,1,172.04,1,168.86,1,171.04,1,25.66,1,25.33,1
202610,JOB661390604805,ID9194096105,EMP8925832067,-9,201907,,0,999909,-9,0,0,0,0,0,0,,1,201908,6.0,0,,,1,3337.78,-8,,-8,,1,3337.78,1,161.07,-8,,1,161.07,1,158.17,1,160.42,1,21.1,1,20.81,1
202603,JOB355904259792,ID3146591166,EMP7033521103,-9,201901,,0,999909,-9,1,0,0,0,0,1,PAN - Projet d'activité national,1,201907,26.0,0,,,1,4406.39,-8,,-8,,1,4406.39,1,163.97,-8,,1,163.97,1,162.86,1,165.54,1,27.06,1,26.62,1
